Defect_name,Defect_group,multiplicity,defect_site,Charge,energy,corrections,Pu,O,Cl,N,H
V_{O}^{2+},V_{O},2,1,2,-1181.28239,0.247052964,0,1,0,0,0
V_{O}^{1+},V_{O},2,1,1,-1171.818572,0.040669459,0,1,0,0,0
V_{O}^{0},V_{O},2,1,0,-1162.327537,0,0,1,0,0,0
O_{i}^{2-},O_i,1,3,-2,-1157.260222,0.214177024,0,-1,0,0,0
O_{i}^{1-},O_i,1,3,-1,-1165.804939,0.036312893,0,-1,0,0,0
O_{i}^{0},O_i,1,3,0,-1174.762041,0,0,-1,0,0,0
V_{Pu}^{4-},V_{Pu},1,2,-4,-1109.365243,2.739655659,1,0,0,0,0
V_{Pu}^{3-},V_{Pu},1,2,-3,-1117.066942,1.879992516,1,0,0,0,0
V_{Pu}^{2-},V_{Pu},1,2,-2,-1124.944007,1.157021098,1,0,0,0,0
V_{Pu}^{1-},V_{Pu},1,2,-1,-1132.746933,0.527530387,1,0,0,0,0
V_{Pu}^{0},V_{Pu},1,2,0,-1140.387845,0,1,0,0,0,0
Pu_{i}^{4+},Pu_{i},1,3,4,-1224.042665,2.329878257,-1,0,0,0,0
Pu_{i}^{3+},Pu_{i},1,3,3,-1215.264937,1.516545197,-1,0,0,0,0
Pu_{i}^{2+},Pu_{i},1,3,2,-1205.550005,0.852411545,-1,0,0,0,0
Pu_{i}^{1+},Pu_{i},1,3,1,-1195.808846,0.347502489,-1,0,0,0,0
Pu_{i}^{0},Pu_{i},1,3,0,-1185.976793,0,-1,0,0,0,0
SD 001,SD,24,1,0,-1129.637666,0,1,2,0,0,0
SD 011,SD,24,1,0,-1130.195058,0,1,2,0,0,0
SD 111,SD,24,1,0,-1130.117713,0,1,2,0,0,0
VO_VPu 2-,VO_Vpu,8,1,-2,-1119.822171,1.123395768,1,1,0,0,0
VO_VPu 1-,VO_Vpu,8,1,-1,-1127.491779,0.5169621,1,1,0,0,0
VO_VPu 0,VO_Vpu,8,1,0,-1135.253221,0,1,1,0,0,0
VO_VO 4+,VO_VO,12,1,4,-1190.409038,0.930085988,0,2,0,0,0
VO_VO 3+,VO_VO,12,1,3,-1181.144432,0.463176617,0,2,0,0,0
VO_VO 2+,VO_VO,12,1,2,-1171.929837,0.137642691,0,2,0,0,0
VO_VO 1+,VO_VO,12,1,1,-1162.558136,-0.010757068,0,2,0,0,0
VO_VO 0,VO_VO,12,1,0,-1153.150215,0,0,2,0,0,0
Cl_{O}^{2+},Cl_{O},2,1,2,-1181.84479,0.405716824,0,1,-1,0,0
Cl_{O}^{1+},Cl_{O},2,1,1,-1173.951966,0.175164206,0,1,-1,0,0
Cl_{O}^{0},Cl_{O},2,1,0,-1164.277202,0,0,1,-1,0,0
Cl_{O}^{1-},Cl_{O},2,1,-1,-1154.579544,-0.00645937,0,1,-1,0,0
Cl_{i}^{0},Cl_i,1,3,0,-1169.2663,0,0,0,-1,0,0
Cl_{i}^{1-},Cl_i,1,3,-1,-1160.865309,-0.089537353,0,0,-1,0,0
