Defect_name,Defect_group,multiplicity,defect_site,Charge,energy,corrections,Pu,O,An
V_{O}^{2+},V_{O},2,1,2,-1181.28239,0.247052964,0,1,0
V_{O}^{1+},V_{O},2,1,1,-1171.818572,0.040669459,0,1,0
V_{O}^{0},V_{O},2,1,0,-1162.327537,0,0,1,0
O_{i}^{2-},O_i,1,3,-2,-1157.260222,0.214177024,0,-1,0
O_{i}^{1-},O_i,1,3,-1,-1165.804939,0.036312893,0,-1,0
O_{i}^{0},O_i,1,3,0,-1174.762041,0,0,-1,0
V_{Pu}^{4-},V_{Pu},1,2,-4,-1109.365243,2.739655659,1,0,0
V_{Pu}^{3-},V_{Pu},1,2,-3,-1117.066942,1.879992516,1,0,0
V_{Pu}^{2-},V_{Pu},1,2,-2,-1124.944007,1.157021098,1,0,0
V_{Pu}^{1-},V_{Pu},1,2,-1,-1132.746933,0.527530387,1,0,0
V_{Pu}^{0},V_{Pu},1,2,0,-1140.387845,0,1,0,0
Pu_{i}^{4+},Pu_i,1,3,4,-1224.042665,2.329878257,-1,0,0
Pu_{i}^{3+},Pu_i,1,3,3,-1215.264937,1.516545197,-1,0,0
Pu_{i}^{2+},Pu_i,1,3,2,-1205.550005,0.852411545,-1,0,0
Pu_{i}^{1+},Pu_i,1,3,1,-1195.808846,0.347502489,-1,0,0
Pu_{i}^{0},Pu_i,1,3,0,-1185.976793,0,-1,0,0
U_{Pu}^3+,U_{Pu},1,2,3,-1193.82089333,0.361720557505703,1,0,-1
U_{Pu}^2+,U_{Pu},1,2,2,-1185.89158865,0.29348233605129,1,0,-1
U_{Pu}^1+,U_{Pu},1,2,1,-1177.48744831,0.0707876523900192,1,0,-1
U_{Pu}^0,U_{Pu},1,2,0,-1168.17343581,0,1,0,-1
U_{Pu}^1-,U_{Pu},1,2,-1,-1158.41041664,0.0867011626656289,1,0,-1
U_{Pu}^2-,U_{Pu},1,2,-2,-1148.72530743,0.136997443994676,1,0,-1
U_{Pu}^3-,U_{Pu},1,2,-3,-1138.91272739,0.162864371787347,1,0,-1
