Defect_name,Defect_group,multiplicity,defect_site,Charge,energy,corrections,Pu,O
V_{O}^{2+},V_{O},2,1,2,-1181.28239,0.247052964,0,1
V_{O}^{1+},V_{O},2,1,1,-1171.818572,0.040669459,0,1
V_{O}^{0},V_{O},2,1,0,-1162.327537,0,0,1
O_{i}^{2-},O_i,1,3,-2,-1157.260222,0.214177024,0,-1
O_{i}^{1-},O_i,1,3,-1,-1165.804939,0.036312893,0,-1
O_{i}^{0},O_i,1,3,0,-1174.762041,0,0,-1
V_{Pu}^{4-},V_{Pu},1,2,-4,-1109.365243,2.739655659,1,0
V_{Pu}^{3-},V_{Pu},1,2,-3,-1117.066942,1.879992516,1,0
V_{Pu}^{2-},V_{Pu},1,2,-2,-1124.944007,1.157021098,1,0
V_{Pu}^{1-},V_{Pu},1,2,-1,-1132.746933,0.527530387,1,0
V_{Pu}^{0},V_{Pu},1,2,0,-1140.387845,0,1,0
